,ID3ROG3,Latitude,Longitude
180,13617AO,-9.16974,17.57672
181,13639AO,-16.94924,22.48909
182,13643AO,-14.59088,21.59839
183,13645AO,-13.38274,18.12592
184,21580AO,-10.736136,13.765602
185,13287AO,-12.965,13.37172
186,13339AO,-16.63593,21.19282
187,21063AO,-14.060956,13.174088
188,13414AO,-13.39491,19.02923
189,13417AO,-15.40955,14.13565
190,14084AO,-15.96162,14.94004
191,14092AO,-15.62958,17.9972
192,15706AO,-12.93443,14.51821
193,14449AO,-9.32801086,13.25726522
194,10598AO,-6.079649843,14.29157694
195,14604AO,-7.31907,19.76441
196,14093AO,-17.12275,22.41077
197,13426AO,-14.201137,21.91173
198,19052AO,-10.44121,16.76775
199,15077AO,-8.81159361,13.26042388
200,15109AO,-6.995230077,16.60417053
201,13454AO,-7.93095,15.74211
202,15953AO,-6.69586,16.66277
203,16005AO,-14.1932,20.51199
204,16051AO,-4.78172,12.55489
205,15741AV,18.23880585,-63.04013486
206,13862AV,18.23061,-63.06438
207,11140AV,18.22966,-63.04394
208,19206AV,18.23699727,-63.03782839
209,19211AV,18.219463,-63.053694
210,10348AC,17.12797656,-61.82960437
211,15741AC,17.10076,-61.8386
212,13862AC,17.0805,-61.78942
213,11140AC,17.10076,-61.8386
214,19007AC,17.073701,-61.785655
215,19023AR,-34.63610452,-58.48223696
216,19024AR,-24.838273,-65.409547
217,19214AR,-34.67294,-58.362476
218,19623AR,-27.473944,-58.828511
219,19624AR,-34.703262,-58.373362
220,19626AR,-34.449408,-58.688826
221,14276AR,-34.159273,-58.741756
222,15152AR,-34.996522,-58.216968
223,10421AR,-34.68917755,-58.71279009
224,10429AR,-34.8788572,-58.38182488
225,12863AR,-22.825288,-67.055084
226,18757AR,-24.65331,-68.09194
227,11065AR,-34.62329125,-58.46630438
228,19213AR,-34.503191,-58.513852
229,20281AR,-34.536522,-58.534882
230,10966AR,-34.875702,-58.446992
231,11140AR,-34.56025355,-58.4794935
232,11069AR,-34.953609,-58.756308
233,11108AR,-35.348425,-57.794766
234,11306AR,-22.54736,-63.98651
235,20500AR,-32.517564,-59.104176
236,11335AR,-34.776168,-58.632878
237,19206AR,-34.71304502,-58.53419293
238,11369AR,-22.18752,-63.2305
239,11370AR,-22.18416,-62.93087
240,11379AR,-22.49553,-63.19437
241,20501AR,-32.88143,-68.803138
242,11437AR,-34.903727,-59.191089
243,11458AR,-34.59598762,-58.3948331
244,19007AR,-34.79695,-59.17984
245,20502AR,-26.070383,-65.970151
246,11234AR,-34.497058,-59.601814
247,11810AR,-34.48491022,-58.54911743
248,11871AR,-34.037143,-59.054415
249,11942AR,-34.759226,-58.952591
250,11355AR,-27.23645,-55.18889
251,11354AR,-23.74971,-64.42292
252,10962AR,-27.57259,-56.01187
253,20504AR,-32.947294,-68.811628
254,12273AR,-34.877412,-58.555196
255,12322AR,-34.65989871,-58.55984807
256,15080AR,-34.52268596,-58.7487892
257,12432AR,-26.61543,-54.34188
258,20505AR,-23.974695,-64.957757
259,12795AR,-34.71807278,-58.28280496
260,12989AR,-27.38913747,-55.91225169
261,20506AR,-27.462336,-59.001134
262,20507AR,-23.624559,-65.408726
263,13526AR,-39.47971,-70.41878
264,13677AR,-37.631154,-63.650129
265,13756AR,-28.1755,-60.44291
266,19006AR,-27.48838185,-58.78859264
267,20508AR,-23.576885,-65.393374
268,20509AR,-53.867112,-69.297214
269,20510AR,-34.472753,-58.675347
270,14312AR,-27.3991318,-55.92652231
271,14373AR,-34.531541,-58.733517
272,14391AR,-24.87574,-60.23159
273,14431AR,-33.462279,-59.052197
274,14449AR,-34.66549324,-58.56843241
275,14504AR,-22.72085433,-65.69488568
276,14502AR,-22.40074179,-66.22230352
277,20511AR,-36.17314,-66.723102
278,14744AR,-27.75079,-63.21644
279,20512AR,-36.427225,-65.061296
280,14567AR,-34.72885842,-58.39231263
281,14571AR,-34.81885,-58.758481
282,14598AR,-34.55951877,-58.47424663
283,20513AR,-31.139796,-64.233033
284,14864AR,-34.62384369,-58.45166677
285,14962AR,-34.62514619,-58.45296927
286,14964AR,-34.62254119,-58.45557428
287,15077AR,-34.63191,-59.488
288,15265AR,-22.57862,-63.64065
289,15319AR,-47.6214,-68.25845
290,15517AR,-26.37823,-59.09333
291,22317AR,-27.93,-64.08
292,18274AR,-34.747146,-58.687017
293,15696AR,-34.61993619,-58.46599429
294,15739AR,-34.63191,-59.48712
295,15780AR,-24.32999,-62.13909
296,15791AR,-27.40293,-58.96414
297,13961AR,-22.30975,-63.89222
298,15905AR,-44.6338,-68.13615
