,ID3ROG3,Latitude,Longitude,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
2781,14996PU,12.26626,-15.32874,14996,PU,snk,0,Soninke,Soninke,P,NA,10,1,Y,3,NA,NA,2001-2018,Y,Y,NA,6,Islam
2782,15414PU,12.66937547,-14.4271618,15414,PU,wol,0,Wolof,Wolof,P,10129,13,1,Y,4,NA,1987-2010,1873-1997,Y,Y,NA,6,Islam
2783,10219GY,5.98438,-60.41842,10219,GY,ake,0,Akawaio,Akawaio,P,5270,3,5,N,4,NA,2010,1873-2008,N,Y,308,1,Christianity
2784,10409GY,5.91822,-57.71526,10409,GY,arw,0,Arawak,Arawak,P,15981,5,4,N,3,NA,NA,1799-1978,N,Y,NA,1,Christianity
2785,13297GY,6.005079379,-57.20981487,13297,GY,djk,0,Aukan,Aukan,P,796,3,4,N,4,NA,1999-2009,1975-1996,Y,Y,243,1,Christianity
2786,11099GY,7.44003,-60.41597,11099,GY,car,8644,Carib,Carib: Murato,P,3092,7,4,N,4,NA,2003-2010,1994,Y,Y,237,1,Christianity
2787,19007GY,6.74831,-58.155272,19007,GY,gsl,0,Gusilay,Gusilay,S,NA,1,1,Y,2,NA,NA,NA,N,N,NA,6,Islam
2788,14771GY,6.804300128,-58.14840397,14771,GY,gyn,0,Guyanese English Creole,Guyanese English Creole,S,NA,6,5,N,3,NA,NA,2010-2011,Y,N,NA,1,Christianity
2789,14771GY,6.804300128,-58.14840397,14771,GY,hns,0,"Hindustani, Sarnami","Hindustani, Sarnami",P,NA,5,4,N,4,NA,1997-2011,1980-1993,Y,Y,593,5,Hinduism
2790,12013GY,6.783842344,-58.14000224,12013,GY,gyn,0,Guyanese English Creole,Guyanese English Creole,P,149392,6,5,N,3,NA,NA,2010-2011,Y,N,NA,1,Christianity
2791,19771GY,6.59108,-58.01247,19771,GY,gyn,0,Guyanese English Creole,Guyanese English Creole,P,77200,6,5,N,3,NA,NA,2010-2011,Y,N,NA,1,Christianity
2792,13192GY,3.78267,-59.41856,13192,GY,mbc,0,Macushi,Macushi,P,9734,3,5,N,4,NA,1996-2013,1923-1975,N,Y,618,4,Ethnic Religions
2793,14334GY,4.8563,-59.52631,14334,GY,pbc,0,Patamona,Patamona,P,5153,3,5,N,4,NA,1974-2019,1963-1967,N,Y,NA,1,Christianity
2794,14356GY,5.58814,-60.92781,14356,GY,aoc,0,Pemon,Pemon,P,NA,4,5,N,3,NA,NA,1990-1993,N,N,NA,1,Christianity
2795,15861GY,2.54714,-59.13873,15861,GY,wap,7260,Wapishana,Wapishana: Atorada,P,NA,2,5,N,4,NA,2012-2014,1975-1998,N,Y,451,1,Christianity
2796,15863GY,7.90626,-59.30875,15863,GY,wba,0,Warao,Warao,P,5240,3,4,N,4,NA,1974-2004,1960-1996,Y,N,NA,4,Ethnic Religions
2797,10375HA,18.539208,-72.328789,10375,HA,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,5551,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam
2798,14276HO,15.55045348,-87.99844074,14276,HO,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,NA,38,1,Y,3,NA,NA,1940-1946,Y,Y,NA,6,Islam
2799,11372HO,14.83711,-89.12916,11372,HO,caa,0,Ch'orti',Ch'orti',P,NA,2,4,N,4,NA,1996-2012,1969-1981,N,Y,524,1,Christianity
2800,19007HO,14.622,-87.224,19007,HO,hds,0,Honduran Sign Language,Honduran Sign Language,P,76633,1,NA,N,3,NA,NA,2021,N,N,NA,1,Christianity
2801,12316HO,14.088703,-87.192146,12316,HO,jam,0,Jamaican English Creole,Jamaican English Creole,P,49481,11,5,N,4,NA,2012,Yes,Y,Y,476,1,Christianity
2802,15544HO,14.66775,-87.04673,15544,HO,jic,0,Tol,Tol,P,21111,1,4,N,4,NA,1993-2010,1977-1981,N,Y,583,1,Christianity
2803,19204HU,47.511695,19.127356,19204,HU,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,5139,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam
2804,19007HU,47.122,19.264,19007,HU,hsh,0,Hungarian Sign Language,Hungarian Sign Language,P,19212,1,NA,N,3,NA,NA,2018,N,N,NA,1,Christianity
2805,14601HU,46.12763712,19.51884926,14601,HU,rue,0,Rusyn,Rusyn,P,NA,6,4,N,3,NA,NA,1874-2009,N,Y,NA,1,Christianity
2806,19007IC,64.17306,-20.27305,19007,IC,icl,0,Icelandic Sign Language,Icelandic Sign Language,P,690,1,NA,N,1,NA,NA,NA,N,N,NA,1,Christianity
2807,15460IC,64.141237,-21.905453,15460,IC,tts,0,"Thai, Northeastern","Thai, Northeastern",P,1474,8,1,Y,4,NA,2016,1972–1996,Y,Y,NA,2,Buddhism
2808,16152IN,25.05131172,84.22023723,16152,IN,bho,0,Bhojpuri,Bhojpuri,S,7855,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2809,16152IN,25.05131172,84.22023723,16152,IN,mai,0,Maithili,Maithili,S,1680,408,1,Y,4,NA,1986-2010,Yes,Y,Y,1302,5,Hinduism
2810,16158IN,31.82798138,76.12323516,16158,IN,bfz,0,"Pahari, Mahasu","Pahari, Mahasu",S,44,149,1,Y,4,NA,2017,Yes,Y,Y,NA,5,Hinduism
2811,16158IN,31.82798138,76.12323516,16158,IN,bgc,0,Haryanvi,Haryanvi,S,55,349,1,Y,4,NA,2017-2020,2001,Y,Y,NA,5,Hinduism
2812,16158IN,31.82798138,76.12323516,16158,IN,bgq,0,Bagri,Bagri,S,214,478,1,Y,4,NA,2014-2019,2001-2013,Y,Y,NA,5,Hinduism
2813,16158IN,31.82798138,76.12323516,16158,IN,cdh,0,Chambeali,Chambeali,S,1586,100,1,Y,4,NA,2017,1883-1979,Y,Y,NA,5,Hinduism
2814,16158IN,31.82798138,76.12323516,16158,IN,cdj,0,Churahi,Churahi,S,400,46,1,Y,4,NA,2017,Yes,Y,Y,NA,5,Hinduism
2815,16158IN,31.82798138,76.12323516,16158,IN,mjl,0,Mandeali,Mandeali,S,40,169,1,Y,4,NA,2017,1970,Y,Y,2769,5,Hinduism
2816,16158IN,31.82798138,76.12323516,16158,IN,mtr,0,Mewari,Mewari,S,205,289,1,Y,4,NA,2021,1815,Y,Y,NA,5,Hinduism
2817,16158IN,31.82798138,76.12323516,16158,IN,rwr,0,Marwari,Marwari,S,343,487,1,Y,4,NA,1820-1821,1815-1867,Y,Y,NA,5,Hinduism
2818,16158IN,31.82798138,76.12323516,16158,IN,wbr,0,Wagdi,Wagdi,S,68,93,1,Y,4,NA,2000,Yes,Y,Y,NA,5,Hinduism
2819,16158IN,31.82798138,76.12323516,16158,IN,xnr,0,Kangri,Kangri,S,225,251,1,Y,4,NA,2017,1969-2007,Y,Y,NA,5,Hinduism
2820,18386IN,28.20184691,95.8279364,18386,IN,der,0,Deori,Deori,S,22,23,1,Y,3,NA,NA,2018,Y,Y,NA,5,Hinduism
2821,18386IN,28.20184691,95.8279364,18386,IN,lep,0,Lepcha,Lepcha,S,5,23,3,N,4,NA,1989,1845-1989,Y,Y,NA,2,Buddhism
2822,18386IN,28.20184691,95.8279364,18386,IN,mhu,0,Digaro-Mishmi,Digaro-Mishmi,S,30,43,3,N,3,NA,NA,2017,Y,Y,NA,5,Hinduism
2823,18386IN,28.20184691,95.8279364,18386,IN,mrg,0,Mising,Mising,S,92,41,1,Y,4,NA,2001,Yes,Y,Y,1078,5,Hinduism
2824,18386IN,28.20184691,95.8279364,18386,IN,njb,0,"Naga, Nocte","Naga, Nocte",S,6,34,3,N,4,NA,2010,Yes,N,Y,1051,1,Christianity
2825,18386IN,28.20184691,95.8279364,18386,IN,onp,0,Sartang,Sartang,S,17,50,2,N,2,NA,NA,NA,N,Y,NA,2,Buddhism
2826,16164IN,12.25087843,79.6162605,16164,IN,tcy,0,Tulu,Tulu,S,53783,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2827,21600IN,12.68481,79.94451,21600,IN,tcy,0,Tulu,Tulu,S,2600,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2828,16165IN,28.79538969,94.93685867,16165,IN,adl,0,"Adi, Galo","Adi, Galo",P,17204,2,3,N,4,NA,2008,Yes,Y,Y,adl,9,Unknown
2829,16165IN,28.79538969,94.93685867,16165,IN,mhu,0,Digaro-Mishmi,Digaro-Mishmi,S,35,43,3,N,3,NA,NA,2017,Y,Y,NA,5,Hinduism
2830,16165IN,28.79538969,94.93685867,16165,IN,mrg,0,Mising,Mising,S,18,41,1,Y,4,NA,2001,Yes,Y,Y,1078,5,Hinduism
2831,16165IN,28.79538969,94.93685867,16165,IN,njb,0,"Naga, Nocte","Naga, Nocte",S,2,34,3,N,4,NA,2010,Yes,N,Y,1051,1,Christianity
2832,16165IN,28.79538969,94.93685867,16165,IN,onp,0,Sartang,Sartang,S,17,50,2,N,2,NA,NA,NA,N,Y,NA,2,Buddhism
2833,16166IN,12.64999269,76.66210297,16166,IN,brw,0,Bellari,Bellari,S,1033,4,1,Y,2,NA,NA,NA,N,N,NA,5,Hinduism
2834,16166IN,12.64999269,76.66210297,16166,IN,tcy,0,Tulu,Tulu,S,14260,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2835,21589IN,14.04486,75.24909,21589,IN,tcy,0,Tulu,Tulu,S,6490,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2836,16167IN,27.97441279,94.94091152,16167,IN,mhu,0,Digaro-Mishmi,Digaro-Mishmi,S,4,43,3,N,3,NA,NA,2017,Y,Y,NA,5,Hinduism
2837,16167IN,27.97441279,94.94091152,16167,IN,mrg,0,Mising,Mising,S,2,41,1,Y,4,NA,2001,Yes,Y,Y,1078,5,Hinduism
2838,16167IN,27.97441279,94.94091152,16167,IN,njb,0,"Naga, Nocte","Naga, Nocte",S,1,34,3,N,4,NA,2010,Yes,N,Y,1051,1,Christianity
2839,16167IN,27.97441279,94.94091152,16167,IN,onp,0,Sartang,Sartang,S,7,50,2,N,2,NA,NA,NA,N,Y,NA,2,Buddhism
2840,16168IN,29.04566166,96.1278609,16168,IN,mrg,0,Mising,Mising,S,12,41,1,Y,4,NA,2001,Yes,Y,Y,1078,5,Hinduism
2841,16169IN,28.62712318,95.78077828,16169,IN,mrg,0,Mising,Mising,S,3,41,1,Y,4,NA,2001,Yes,Y,Y,1078,5,Hinduism
2842,17939IN,28.76840769,94.60380876,17939,IN,onp,0,Sartang,Sartang,S,2,50,2,N,2,NA,NA,NA,N,Y,NA,2,Buddhism
2843,16171IN,12.10840612,76.2345031,16171,IN,kfa,0,Kodava,Kodava,S,31,81,1,Y,4,NA,2021,1873,N,Y,NA,5,Hinduism
2844,16171IN,12.10840612,76.2345031,16171,IN,tcy,0,Tulu,Tulu,S,38,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2845,16174IN,23.4925233,83.35814383,16174,IN,agi,0,Agariya,Agariya,P,85381,1,1,Y,2,NA,NA,NA,N,Y,NA,5,Hinduism
2846,16174IN,23.4925233,83.35814383,16174,IN,bfy,0,Bagheli,Bagheli,S,77,214,1,Y,4,NA,1821-2020,Yes,Y,Y,NA,5,Hinduism
2847,16174IN,23.4925233,83.35814383,16174,IN,bgw,0,Bhatri,Bhatri,S,4,97,1,Y,4,NA,2017,Yes,Y,Y,NA,5,Hinduism
2848,16174IN,23.4925233,83.35814383,16174,IN,bhb,0,Bhili,Bhili,S,50,122,1,Y,4,NA,1930,1916-1996,Y,Y,NA,5,Hinduism
2849,16174IN,23.4925233,83.35814383,16174,IN,bho,0,Bhojpuri,Bhojpuri,S,276,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2850,16174IN,23.4925233,83.35814383,16174,IN,bjj,0,Kanauji,Kanauji,S,55,337,1,Y,4,NA,1821,Yes,Y,Y,NA,5,Hinduism
2851,16174IN,23.4925233,83.35814383,16174,IN,bns,0,Bundeli,Bundeli,S,12,319,1,Y,4,NA,2010,Yes,Y,Y,NA,5,Hinduism
2852,16174IN,23.4925233,83.35814383,16174,IN,gbm,0,Garhwali,Garhwali,S,764,350,1,Y,4,NA,1827-1994,1876-1966,Y,Y,NA,5,Hinduism
2853,16174IN,23.4925233,83.35814383,16174,IN,gno,0,"Gondi, Northern","Gondi, Northern",S,2759,118,1,Y,4,NA,1994-1996,1872-1987,Y,Y,NA,5,Hinduism
2854,16174IN,23.4925233,83.35814383,16174,IN,hlb,0,Halbi,Halbi,S,10,78,1,Y,4,NA,2002-2017,1989-1998,Y,Y,NA,5,Hinduism
2855,16174IN,23.4925233,83.35814383,16174,IN,hne,0,Chhattisgarhi,Chhattisgarhi,S,19464,464,1,Y,4,NA,2005-2014,1904-1952,Y,Y,hne,5,Hinduism
2856,16174IN,23.4925233,83.35814383,16174,IN,hoc,0,Ho,Ho,S,70,109,1,Y,4,NA,1991-1997,1915-1987,Y,Y,NA,9,Unknown
2857,16174IN,23.4925233,83.35814383,16174,IN,kfp,0,Korwa,Korwa,S,50,70,1,Y,4,NA,2021,2016,Y,Y,NA,5,Hinduism
2858,16174IN,23.4925233,83.35814383,16174,IN,kfy,0,Kumaoni,Kumaoni,S,1109,327,1,Y,4,NA,1825,1825-2007,Y,Y,NA,5,Hinduism
2859,16174IN,23.4925233,83.35814383,16174,IN,khn,0,Khandesi,Khandesi,S,1,212,1,Y,4,NA,2017,Yes,Y,Y,NA,5,Hinduism
2860,16174IN,23.4925233,83.35814383,16174,IN,kxv,0,Kuvi,Kuvi,S,20,155,2,N,4,NA,1987-2020,1916-1962,Y,Y,NA,5,Hinduism
2861,16174IN,23.4925233,83.35814383,16174,IN,mag,0,Magahi,Magahi,S,460,274,1,Y,4,NA,1818-2016,1890-2009,Y,Y,NA,5,Hinduism
2862,16174IN,23.4925233,83.35814383,16174,IN,noe,0,Nimadi,Nimadi,S,1,194,1,Y,3,NA,NA,2018,Y,Y,NA,5,Hinduism
2863,16174IN,23.4925233,83.35814383,16174,IN,peg,0,Pengo,Pengo,S,30,108,1,Y,4,NA,2020,2017,Y,Y,NA,5,Hinduism
2864,16174IN,23.4925233,83.35814383,16174,IN,sck,0,Sadri,Sadri,S,4175,112,1,Y,4,NA,1931-2016,1907-1919,Y,Y,NA,5,Hinduism
2865,16174IN,23.4925233,83.35814383,16174,IN,unx,0,Munda,Munda,S,70,132,3,N,4,NA,2020,2017,Y,Y,NA,5,Hinduism
2866,16175IN,26.60862346,82.06333678,16175,IN,bho,0,Bhojpuri,Bhojpuri,S,510,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2867,16175IN,26.60862346,82.06333678,16175,IN,hne,0,Chhattisgarhi,Chhattisgarhi,S,760,464,1,Y,4,NA,2005-2014,1904-1952,Y,Y,hne,5,Hinduism
2868,16175IN,26.60862346,82.06333678,16175,IN,kfr,0,Kacchi,Kacchi,S,580,249,1,Y,4,NA,2010-2013,2013,Y,Y,NA,5,Hinduism
2869,19163IN,15.01210621,74.8342039,19163,IN,bgq,0,Bagri,Bagri,S,50,478,1,Y,4,NA,2014-2019,2001-2013,Y,Y,NA,5,Hinduism
2870,19163IN,15.01210621,74.8342039,19163,IN,dhd,0,Dhundari,Dhundari,S,295,355,1,Y,4,NA,2017,2014,Y,Y,NA,5,Hinduism
2871,19163IN,15.01210621,74.8342039,19163,IN,kfy,0,Kumaoni,Kumaoni,S,50,327,1,Y,4,NA,1825,1825-2007,Y,Y,NA,5,Hinduism
2872,19163IN,15.01210621,74.8342039,19163,IN,mtr,0,Mewari,Mewari,S,50,289,1,Y,4,NA,2021,1815,Y,Y,NA,5,Hinduism
2873,19163IN,15.01210621,74.8342039,19163,IN,rwr,0,Marwari,Marwari,S,475,487,1,Y,4,NA,1820-1821,1815-1867,Y,Y,NA,5,Hinduism
2874,19163IN,15.01210621,74.8342039,19163,IN,wbr,0,Wagdi,Wagdi,S,10,93,1,Y,4,NA,2000,Yes,Y,Y,NA,5,Hinduism
2875,16178IN,26.66043641,79.13546097,16178,IN,anp,0,Angika,Angika,S,60,204,1,Y,3,NA,NA,2010-2011,Y,Y,NA,5,Hinduism
2876,16178IN,26.66043641,79.13546097,16178,IN,bho,0,Bhojpuri,Bhojpuri,S,2470,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2877,16178IN,26.66043641,79.13546097,16178,IN,bns,0,Bundeli,Bundeli,S,1680,319,1,Y,4,NA,2010,Yes,Y,Y,NA,5,Hinduism
2878,16178IN,26.66043641,79.13546097,16178,IN,dhd,0,Dhundari,Dhundari,S,1000,355,1,Y,4,NA,2017,2014,Y,Y,NA,5,Hinduism
2879,16178IN,26.66043641,79.13546097,16178,IN,gbm,0,Garhwali,Garhwali,S,740,350,1,Y,4,NA,1827-1994,1876-1966,Y,Y,NA,5,Hinduism
2880,16178IN,26.66043641,79.13546097,16178,IN,kfy,0,Kumaoni,Kumaoni,S,140,327,1,Y,4,NA,1825,1825-2007,Y,Y,NA,5,Hinduism
2881,16178IN,26.66043641,79.13546097,16178,IN,mai,0,Maithili,Maithili,S,1170,408,1,Y,4,NA,1986-2010,Yes,Y,Y,1302,5,Hinduism
2882,16178IN,26.66043641,79.13546097,16178,IN,mtr,0,Mewari,Mewari,S,5,289,1,Y,4,NA,2021,1815,Y,Y,NA,5,Hinduism
2883,16178IN,26.66043641,79.13546097,16178,IN,rwr,0,Marwari,Marwari,S,78,487,1,Y,4,NA,1820-1821,1815-1867,Y,Y,NA,5,Hinduism
2884,16180IN,19.61662553,73.48501208,16180,IN,dhd,0,Dhundari,Dhundari,S,130,355,1,Y,4,NA,2017,2014,Y,Y,NA,5,Hinduism
2885,16180IN,19.61662553,73.48501208,16180,IN,gbm,0,Garhwali,Garhwali,S,2230,350,1,Y,4,NA,1827-1994,1876-1966,Y,Y,NA,5,Hinduism
2886,16180IN,19.61662553,73.48501208,16180,IN,kfr,0,Kacchi,Kacchi,S,1150,249,1,Y,4,NA,2010-2013,2013,Y,Y,NA,5,Hinduism
2887,16180IN,19.61662553,73.48501208,16180,IN,kfy,0,Kumaoni,Kumaoni,S,110,327,1,Y,4,NA,1825,1825-2007,Y,Y,NA,5,Hinduism
2888,16180IN,19.61662553,73.48501208,16180,IN,mtr,0,Mewari,Mewari,S,50,289,1,Y,4,NA,2021,1815,Y,Y,NA,5,Hinduism
2889,16180IN,19.61662553,73.48501208,16180,IN,rwr,0,Marwari,Marwari,S,575,487,1,Y,4,NA,1820-1821,1815-1867,Y,Y,NA,5,Hinduism
2890,16180IN,19.61662553,73.48501208,16180,IN,wbr,0,Wagdi,Wagdi,S,15,93,1,Y,4,NA,2000,Yes,Y,Y,NA,5,Hinduism
2891,16182IN,23.19899074,87.76022057,16182,IN,hca,0,Andaman Hindi Creole,Andaman Hindi Creole,S,170,48,3,N,2,NA,NA,NA,N,Y,NA,5,Hinduism
2892,16182IN,23.19899074,87.76022057,16182,IN,hne,0,Chhattisgarhi,Chhattisgarhi,S,150,464,1,Y,4,NA,2005-2014,1904-1952,Y,Y,hne,5,Hinduism
2893,16184IN,28.83035932,79.66381356,16184,IN,bho,0,Bhojpuri,Bhojpuri,S,42480,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2894,16184IN,28.83035932,79.66381356,16184,IN,bjj,0,Kanauji,Kanauji,S,4850,337,1,Y,4,NA,1821,Yes,Y,Y,NA,5,Hinduism
2895,16184IN,28.83035932,79.66381356,16184,IN,bns,0,Bundeli,Bundeli,S,760,319,1,Y,4,NA,2010,Yes,Y,Y,NA,5,Hinduism
2896,16184IN,28.83035932,79.66381356,16184,IN,bra,0,Braj Bhasha,Braj Bhasha,S,20,192,1,Y,4,NA,1824-1999,1822,Y,Y,NA,5,Hinduism
2897,16184IN,28.83035932,79.66381356,16184,IN,kfy,0,Kumaoni,Kumaoni,S,210,327,1,Y,4,NA,1825,1825-2007,Y,Y,NA,5,Hinduism
2898,16186IN,28.36460732,78.69854094,16186,IN,bgq,0,Bagri,Bagri,S,915,478,1,Y,4,NA,2014-2019,2001-2013,Y,Y,NA,5,Hinduism
2899,16186IN,28.36460732,78.69854094,16186,IN,bho,0,Bhojpuri,Bhojpuri,S,910,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2900,16186IN,28.36460732,78.69854094,16186,IN,bht,0,Bhattiyali,Bhattiyali,S,30,78,1,Y,4,NA,2020,2019,Y,Y,NA,5,Hinduism
2901,16186IN,28.36460732,78.69854094,16186,IN,bjj,0,Kanauji,Kanauji,S,980,337,1,Y,4,NA,1821,Yes,Y,Y,NA,5,Hinduism
2902,16186IN,28.36460732,78.69854094,16186,IN,bra,0,Braj Bhasha,Braj Bhasha,S,200,192,1,Y,4,NA,1824-1999,1822,Y,Y,NA,5,Hinduism
2903,16186IN,28.36460732,78.69854094,16186,IN,cdh,0,Chambeali,Chambeali,S,37,100,1,Y,4,NA,2017,1883-1979,Y,Y,NA,5,Hinduism
2904,16186IN,28.36460732,78.69854094,16186,IN,dhd,0,Dhundari,Dhundari,S,200,355,1,Y,4,NA,2017,2014,Y,Y,NA,5,Hinduism
2905,16186IN,28.36460732,78.69854094,16186,IN,hoj,18802,Haroti,Haroti: Harauti,S,3959,152,1,Y,4,NA,1821-1822,Yes,Y,Y,NA,5,Hinduism
2906,16186IN,28.36460732,78.69854094,16186,IN,kfs,0,Bilaspuri,Bilaspuri,S,430,157,1,Y,4,NA,2017,Yes,N,Y,NA,5,Hinduism
2907,16186IN,28.36460732,78.69854094,16186,IN,kfx,0,"Pahari, Kullu","Pahari, Kullu",S,58,105,1,Y,4,NA,2017,1932-1998,Y,Y,NA,5,Hinduism
2908,16186IN,28.36460732,78.69854094,16186,IN,mjl,0,Mandeali,Mandeali,S,1039,169,1,Y,4,NA,2017,1970,Y,Y,2769,5,Hinduism
2909,16186IN,28.36460732,78.69854094,16186,IN,mtr,0,Mewari,Mewari,S,385,289,1,Y,4,NA,2021,1815,Y,Y,NA,5,Hinduism
2910,16186IN,28.36460732,78.69854094,16186,IN,rwr,0,Marwari,Marwari,S,35,487,1,Y,4,NA,1820-1821,1815-1867,Y,Y,NA,5,Hinduism
2911,16186IN,28.36460732,78.69854094,16186,IN,wbr,0,Wagdi,Wagdi,S,70,93,1,Y,4,NA,2000,Yes,Y,Y,NA,5,Hinduism
2912,16186IN,28.36460732,78.69854094,16186,IN,xnr,0,Kangri,Kangri,S,306,251,1,Y,4,NA,2017,1969-2007,Y,Y,NA,5,Hinduism
2913,19477IN,28.32409064,79.93469751,19477,IN,bgq,0,Bagri,Bagri,S,120,478,1,Y,4,NA,2014-2019,2001-2013,Y,Y,NA,5,Hinduism
2914,19477IN,28.32409064,79.93469751,19477,IN,bho,0,Bhojpuri,Bhojpuri,S,200,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2915,19477IN,28.32409064,79.93469751,19477,IN,bjj,0,Kanauji,Kanauji,S,80,337,1,Y,4,NA,1821,Yes,Y,Y,NA,5,Hinduism
2916,19477IN,28.32409064,79.93469751,19477,IN,gbm,0,Garhwali,Garhwali,S,150,350,1,Y,4,NA,1827-1994,1876-1966,Y,Y,NA,5,Hinduism
2917,19477IN,28.32409064,79.93469751,19477,IN,mai,0,Maithili,Maithili,S,60,408,1,Y,4,NA,1986-2010,Yes,Y,Y,1302,5,Hinduism
2918,19477IN,28.32409064,79.93469751,19477,IN,rwr,0,Marwari,Marwari,S,210,487,1,Y,4,NA,1820-1821,1815-1867,Y,Y,NA,5,Hinduism
2919,16190IN,24.81080202,94.43045298,16190,IN,aim,0,Aimol,Aimol,P,2677,3,3,N,4,NA,2013-2014,Yes,N,Y,aim,1,Christianity
2920,16190IN,24.81080202,94.43045298,16190,IN,nkf,14523,"Naga, Inpui","Naga, Inpui: Naga, Kabui",S,1,62,3,N,4,NA,2011,2000,N,N,NA,1,Christianity
2921,16191IN,26.20373451,93.68543119,16191,IN,aio,0,Aiton,Aiton,P,4280,1,1,Y,2,NA,NA,NA,N,Y,NA,2,Buddhism
2922,16193IN,13.02182008,75.84954784,16193,IN,tcy,0,Tulu,Tulu,S,600,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2923,16194IN,22.85139007,76.38080955,16194,IN,mup,0,Malvi,Malvi,S,5970,294,1,Y,4,NA,1826-2015,Yes,Y,Y,NA,5,Hinduism
2924,16195IN,27.83279027,92.93115946,16195,IN,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",S,1,31,1,Y,4,NA,2005,Yes,Y,Y,NA,6,Islam
2925,16195IN,27.83279027,92.93115946,16195,IN,hru,0,Hruso,Hruso,P,9662,3,3,N,2,NA,NA,NA,N,Y,NA,5,Hinduism
2926,16195IN,27.83279027,92.93115946,16195,IN,kfa,0,Kodava,Kodava,S,1,81,1,Y,4,NA,2021,1873,N,Y,NA,5,Hinduism
2927,16195IN,27.83279027,92.93115946,16195,IN,kxv,0,Kuvi,Kuvi,S,4,155,2,N,4,NA,1987-2020,1916-1962,Y,Y,NA,5,Hinduism
2928,17333IN,11.99724573,76.41381878,17333,IN,kfh,0,Kurichiya,Kurichiya,P,38867,1,2,N,2,NA,NA,NA,N,Y,NA,5,Hinduism
2929,17333IN,11.99724573,76.41381878,17333,IN,tcy,0,Tulu,Tulu,S,170,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2930,16201IN,19.67288104,85.02828531,16201,IN,dwk,0,"Kui, Dawik","Kui, Dawik",S,60,52,3,N,3,NA,NA,2020,Y,N,NA,1,Christianity
2931,16201IN,19.67288104,85.02828531,16201,IN,hne,0,Chhattisgarhi,Chhattisgarhi,S,1520,464,1,Y,4,NA,2005-2014,1904-1952,Y,Y,hne,5,Hinduism
2932,16206IN,26.288614,86.440206,16206,IN,anp,0,Angika,Angika,S,1400,204,1,Y,3,NA,NA,2010-2011,Y,Y,NA,5,Hinduism
2933,16206IN,26.288614,86.440206,16206,IN,bho,0,Bhojpuri,Bhojpuri,S,2850,538,1,Y,4,NA,1998-2007,1911-1982,Y,Y,NA,5,Hinduism
2934,16206IN,26.288614,86.440206,16206,IN,hlb,0,Halbi,Halbi,S,689,78,1,Y,4,NA,2002-2017,1989-1998,Y,Y,NA,5,Hinduism
2935,16206IN,26.288614,86.440206,16206,IN,hoc,0,Ho,Ho,S,210,109,1,Y,4,NA,1991-1997,1915-1987,Y,Y,NA,9,Unknown
2936,16206IN,26.288614,86.440206,16206,IN,mag,0,Magahi,Magahi,S,700,274,1,Y,4,NA,1818-2016,1890-2009,Y,Y,NA,5,Hinduism
2937,16206IN,26.288614,86.440206,16206,IN,mai,0,Maithili,Maithili,S,81385,408,1,Y,4,NA,1986-2010,Yes,Y,Y,1302,5,Hinduism
2938,16207IN,11.08579178,77.16602238,16207,IN,tcy,0,Tulu,Tulu,S,960,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2939,16208IN,10.75128169,79.48090769,16208,IN,tcy,0,Tulu,Tulu,S,220,239,2,N,4,NA,1847-2010,1842-1912,Y,Y,NA,5,Hinduism
2940,16197IN,12.9331099,76.01464466,16197,IN,kfa,0,Kodava,Kodava,P,1440,81,1,Y,4,NA,2021,1873,N,Y,NA,5,Hinduism
