,ID3ROG3,Latitude,Longitude,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
36,12944AG,33.95739228,3.103844449,12944,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam
37,13922AG,34.14495886,4.588845476,13922,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,39722,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam
38,14584AG,33.52546407,6.014430076,14584,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,85152,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam
39,14938AG,27.611488,-3.430999,14938,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam
40,15095AG,33.95742204,6.849871519,15095,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,134763,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam
41,16103AG,28.419452,-5.944667,16103,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,20329,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam
42,11199AG,31.96320642,-0.961098651,11199,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,85261,12,1,Y,3,NA,NA,1919-2020,Y,Y,NA,6,Islam
43,12217AG,33.563667,-0.28593,12217,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,1702593,12,1,Y,3,NA,NA,1919-2020,Y,Y,NA,6,Islam
44,13669AG,32.94803788,-0.590039475,13669,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,85014,12,1,Y,3,NA,NA,1919-2020,Y,Y,NA,6,Islam
45,10803AG,35.83907,-0.34831,10803,AG,rif,0,Tarifit,Tarifit,P,508,4,1,Y,4,NA,2020,1885-2018,Y,Y,NA,6,Islam
46,14899AG,35.27603,6.93694,14899,AG,shy,0,Tachawit,Tachawit,P,2379562,6,1,Y,3,NA,NA,1933-1950,Y,Y,NA,6,Islam
47,14911AG,29.29423,-7.3006,14911,AG,shi,0,Tachelhit,Tachelhit,P,6704,5,1,Y,4,NA,1998-2010,1906-1925,Y,Y,NA,6,Islam
48,15473AG,26.91172,1.79388,15473,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,NA,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam
49,15572AG,33.31437,6.0497,15572,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,8398,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam
50,11321AG,36.60729,2.19664,11321,AG,cnu,0,Chenoua,Chenoua,P,105843,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
51,19007AG,36.4762,3.5462,19007,AG,asp,0,Algerian Sign Language,Algerian Sign Language,P,226734,1,NA,N,1,NA,NA,NA,N,N,NA,6,Islam
52,12178AG,29.41261534,-3.286603179,12178,AG,dsq,0,Tadaksahak,Tadaksahak,P,3868,2,1,Y,1,NA,NA,NA,N,Y,NA,6,Islam
53,14570AG,36.62111916,3.096820261,14570,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,4691,27,1,Y,4,NA,1965-2018,1872-1964,Y,Y,NA,6,Islam
54,14639AG,27.67405367,-8.146384189,14639,AG,mey,0,"Arabic, Hassaniyya","Arabic, Hassaniyya",P,NA,30,1,Y,4,NA,Yes,2002-2005,Y,Y,NA,6,Islam
55,15199AG,35.42078,3.23033,15199,AG,mey,0,"Arabic, Hassaniyya","Arabic, Hassaniyya",P,50821,30,1,Y,4,NA,Yes,2002-2005,Y,Y,NA,6,Islam
56,15226AG,28.14156,1.84671,15226,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,76232,9,1,Y,3,NA,NA,1992,Y,Y,NA,6,Islam
57,15608AG,22.48174,6.3768,15608,AG,thv,0,"Tamahaq, Tahaggart","Tamahaq, Tahaggart",P,73840,3,1,Y,3,NA,NA,1922-2018,N,N,NA,6,Islam
58,15535AQ,-14.29119,-170.74249,15535,AQ,tkl,0,Tokelauan,Tokelauan,P,86,3,4,N,4,NA,2003-2009,2000,N,Y,NA,1,Christianity
59,13819AN,42.534721,1.475602,13819,AN,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,540,27,1,Y,4,NA,2012,1902-1952,Y,Y,558,6,Islam
60,10918AO,-10.27549,15.10681,10918,AO,blv,0,Kibala,Kibala,P,5440,1,4,N,2,NA,NA,NA,N,N,NA,1,Christianity
61,11069AO,-8.60325,13.455789,11069,AO,kea,0,Kabuverdianu,Kabuverdianu,P,81651,18,4,N,3,NA,NA,1936-2013,Y,Y,NA,1,Christianity
62,11545AO,-16.55169,13.69577,11545,AO,dhm,0,Dhimba,Dhimba,P,33261,2,5,N,4,NA,2010-2013,1970-1984,N,Y,471,1,Christianity
63,11852AO,-17.76548,20.7608,11852,AO,diu,0,Gciriku,Gciriku,P,25578,3,5,N,4,NA,1988,1979-1985,N,Y,NA,1,Christianity
64,14681AO,-17.019218,21.301622,14681,AO,hgm,10523,Haiom,Haiom: Kedi,P,1730,3,4,N,2,NA,NA,NA,N,Y,NA,4,Ethnic Religions
65,12116AO,-8.20931,17.5774,12116,AO,hol,10683,Holu,Holu: Yeci,P,57304,2,4,N,3,NA,NA,1943-1956,N,Y,NA,1,Christianity
66,21843AO,-7.63,15.06,21843,AO,hng,0,Hungu,Hungu,P,909496,1,5,N,1,NA,NA,NA,N,N,NA,1,Christianity
67,12856AO,-7.28215,14.34318,12856,AO,knw,0,Kung-Ekoka,Kung-Ekoka,P,7884,4,2,N,3,NA,NA,1975-1980,N,Y,NA,4,Ethnic Religions
68,12857AO,-17.711445,20.892357,12857,AO,ktz,0,Ju'hoan,Ju'hoan,P,10490,3,4,N,4,NA,2008,1974,N,Y,NA,4,Ethnic Religions
69,20990AO,-15,12.5,20990,AO,olu,0,Kuvale,Kuvale,P,98105,1,5,N,3,NA,NA,2021,Y,N,NA,1,Christianity
70,21064AO,-14.046703,13.313938,21064,AO,xdo,0,Kwandu,Kwandu,P,8408,1,5,N,3,NA,NA,2016,N,N,NA,1,Christianity
71,10676AO,-17.65705,22.41191,10676,AO,xuu,0,Khwedam,Khwedam,P,318,5,5,N,3,NA,NA,2010,Y,Y,NA,4,Ethnic Religions
72,12962AO,0.316111,32.574811,12962,AO,ldi,0,Laari,Laari,P,5573,2,5,N,4,NA,2007-2009,Yes,Y,Y,NA,1,Christianity
73,13146AO,-11.43456,17.44547,13146,AO,lum,0,Luimbi,Luimbi,P,114593,1,5,N,3,NA,NA,1935-1939,N,Y,NA,1,Christianity
74,13167AO,-7.683371,21.373317,13167,AO,lwa,0,Lwalu,Lwalu,P,26017,2,4,N,2,NA,NA,NA,N,N,NA,1,Christianity
75,13569AO,-15.95814,21.90066,13569,AO,mho,13824,Mashi,Mashi: North Kwandu,P,5259,3,5,N,3,NA,NA,2013,Y,Y,NA,4,Ethnic Religions
76,13617AO,-9.16974,17.57672,13617,AO,mxg,0,Mbangala,Mbangala,P,NA,1,2,N,3,NA,NA,Yes,N,N,NA,4,Ethnic Religions
77,13639AO,-16.94924,22.48909,13639,AO,mhw,0,Mbukushu,Mbukushu,P,15753,4,4,N,4,NA,1986-1993,1976-1986,Y,Y,NA,1,Christianity
78,21580AO,-10.736136,13.765602,21580,AO,pnd,0,Mpinda,Mpinda,P,34145,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
79,13287AO,-12.965,13.37172,13287,AO,ndq,0,Ndombe,Ndombe,P,52514,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
80,13339AO,-16.63593,21.19282,13339,AO,nne,0,Ngandjera,Ngandjera,P,31500,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
81,21063AO,-14.060956,13.174088,21063,AO,nql,0,Ngendelengo,Ngendelengo,P,1402,1,5,N,1,NA,NA,NA,N,N,NA,1,Christianity
82,13414AO,-13.39491,19.02923,13414,AO,nkn,0,Nkangala,Nkangala,P,55322,1,4,N,2,NA,NA,NA,N,N,NA,4,Ethnic Religions
83,13417AO,-15.40955,14.13565,13417,AO,khu,0,Nkumbi,Nkumbi,P,748303,1,3,N,4,NA,2019,1985-1987,N,Y,NA,1,Christianity
84,14084AO,-15.96162,14.94004,14084,AO,nyk,0,Nyaneka,Nyaneka,P,1136870,1,4,N,4,NA,2005-2018,Yes,Y,Y,NA,1,Christianity
85,14092AO,-15.62958,17.9972,14092,AO,nba,0,Nyemba,Nyemba,P,1069795,2,3,N,3,NA,NA,1927-1983,N,Y,NA,1,Christianity
86,14093AO,-17.12275,22.41077,14093,AO,nye,0,Nyengo,Nyengo,P,25547,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
87,13426AO,-14.201137,21.91173,13426,AO,sie,0,Simaa,Simaa,P,3902,5,5,N,3,NA,NA,2016,Y,Y,NA,4,Ethnic Religions
